task,condition,plan_valid,alignment,score,executable,collapse,error,run
prime,direct,False,0.0,1.0,True,False,,0
prime,hierarchical,True,0.7469,1.0,True,False,,0
prime,oracle,True,0.739,1.0,True,False,,0
factorial,direct,False,0.0,1.0,True,False,,0
factorial,hierarchical,False,0.7769,1.0,True,False,,0
factorial,oracle,False,0.7769,1.0,True,False,,0
fibonacci,direct,False,0.0,1.0,True,False,,0
fibonacci,hierarchical,False,0.5016,0.0,True,False,,0
fibonacci,oracle,False,0.5287,1.0,True,False,,0
gcd,direct,False,0.0,1.0,True,False,,0
gcd,hierarchical,True,0.6573,0.6667,True,False,,0
gcd,oracle,True,0.6791,1.0,True,False,,0
palindrome,direct,False,0.0,1.0,True,False,,0
palindrome,hierarchical,False,0.4667,1.0,True,False,,0
palindrome,oracle,False,0.4294,1.0,True,False,,0
reverse,direct,False,0.0,1.0,True,False,,0
reverse,hierarchical,True,0.7733,1.0,True,False,,0
reverse,oracle,True,0.7733,1.0,True,False,,0
is_even,direct,False,0.0,1.0,True,False,,0
is_even,hierarchical,False,0.8276,1.0,True,False,,0
is_even,oracle,False,0.8094,1.0,True,False,,0
max_two,direct,False,0.0,1.0,True,False,,0
max_two,hierarchical,False,0.6756,1.0,True,False,,0
max_two,oracle,False,0.6962,1.0,True,False,,0
sum_list,direct,False,0.0,1.0,True,False,,0
sum_list,hierarchical,True,0.7463,1.0,True,False,,0
sum_list,oracle,True,0.7463,1.0,True,False,,0
count_vowels,direct,False,0.0,1.0,True,False,,0
count_vowels,hierarchical,True,0.8459,1.0,True,False,,0
count_vowels,oracle,True,0.8445,1.0,True,False,,0
prime,direct,False,0.0,1.0,True,False,,1
prime,hierarchical,True,0.7469,1.0,True,False,,1
prime,oracle,True,0.739,1.0,True,False,,1
factorial,direct,False,0.0,1.0,True,False,,1
factorial,hierarchical,False,0.7769,1.0,True,False,,1
factorial,oracle,False,0.7769,1.0,True,False,,1
fibonacci,direct,False,0.0,1.0,True,False,,1
fibonacci,hierarchical,False,0.5016,0.0,True,False,,1
fibonacci,oracle,False,0.5287,1.0,True,False,,1
gcd,direct,False,0.0,1.0,True,False,,1
gcd,hierarchical,True,0.6573,0.6667,True,False,,1
gcd,oracle,True,0.6791,1.0,True,False,,1
palindrome,direct,False,0.0,1.0,True,False,,1
palindrome,hierarchical,False,0.4667,1.0,True,False,,1
palindrome,oracle,False,0.4294,1.0,True,False,,1
reverse,direct,False,0.0,1.0,True,False,,1
reverse,hierarchical,True,0.7733,1.0,True,False,,1
reverse,oracle,True,0.7733,1.0,True,False,,1
is_even,direct,False,0.0,1.0,True,False,,1
is_even,hierarchical,False,0.8276,1.0,True,False,,1
is_even,oracle,False,0.8094,1.0,True,False,,1
max_two,direct,False,0.0,1.0,True,False,,1
max_two,hierarchical,False,0.6756,1.0,True,False,,1
max_two,oracle,False,0.6962,1.0,True,False,,1
sum_list,direct,False,0.0,1.0,True,False,,1
sum_list,hierarchical,True,0.7463,1.0,True,False,,1
sum_list,oracle,True,0.7463,1.0,True,False,,1
count_vowels,direct,False,0.0,1.0,True,False,,1
count_vowels,hierarchical,True,0.8459,1.0,True,False,,1
count_vowels,oracle,True,0.8445,1.0,True,False,,1
prime,direct,False,0.0,1.0,True,False,,2
prime,hierarchical,True,0.7469,1.0,True,False,,2
prime,oracle,True,0.739,1.0,True,False,,2
factorial,direct,False,0.0,1.0,True,False,,2
factorial,hierarchical,False,0.7769,1.0,True,False,,2
factorial,oracle,False,0.7769,1.0,True,False,,2
fibonacci,direct,False,0.0,1.0,True,False,,2
fibonacci,hierarchical,False,0.5016,0.0,True,False,,2
fibonacci,oracle,False,0.5287,1.0,True,False,,2
gcd,direct,False,0.0,1.0,True,False,,2
gcd,hierarchical,True,0.6573,0.6667,True,False,,2
gcd,oracle,True,0.6791,1.0,True,False,,2
palindrome,direct,False,0.0,1.0,True,False,,2
palindrome,hierarchical,False,0.4667,1.0,True,False,,2
palindrome,oracle,False,0.4294,1.0,True,False,,2
reverse,direct,False,0.0,1.0,True,False,,2
reverse,hierarchical,True,0.7733,1.0,True,False,,2
reverse,oracle,True,0.7733,1.0,True,False,,2
is_even,direct,False,0.0,1.0,True,False,,2
is_even,hierarchical,False,0.8276,1.0,True,False,,2
is_even,oracle,False,0.8094,1.0,True,False,,2
max_two,direct,False,0.0,1.0,True,False,,2
max_two,hierarchical,False,0.6756,1.0,True,False,,2
max_two,oracle,False,0.6962,1.0,True,False,,2
sum_list,direct,False,0.0,1.0,True,False,,2
sum_list,hierarchical,True,0.7463,1.0,True,False,,2
sum_list,oracle,True,0.7463,1.0,True,False,,2
count_vowels,direct,False,0.0,1.0,True,False,,2
count_vowels,hierarchical,True,0.8459,1.0,True,False,,2
count_vowels,oracle,True,0.8445,1.0,True,False,,2
prime,direct,False,0.0,1.0,True,False,,3
prime,hierarchical,True,0.7469,1.0,True,False,,3
prime,oracle,True,0.739,1.0,True,False,,3
factorial,direct,False,0.0,1.0,True,False,,3
factorial,hierarchical,False,0.7769,1.0,True,False,,3
factorial,oracle,False,0.7769,1.0,True,False,,3
fibonacci,direct,False,0.0,1.0,True,False,,3
fibonacci,hierarchical,False,0.5016,0.0,True,False,,3
fibonacci,oracle,False,0.5287,1.0,True,False,,3
gcd,direct,False,0.0,1.0,True,False,,3
gcd,hierarchical,True,0.6573,0.6667,True,False,,3
gcd,oracle,True,0.6791,1.0,True,False,,3
palindrome,direct,False,0.0,1.0,True,False,,3
palindrome,hierarchical,False,0.4667,1.0,True,False,,3
palindrome,oracle,False,0.4294,1.0,True,False,,3
reverse,direct,False,0.0,1.0,True,False,,3
reverse,hierarchical,True,0.7733,1.0,True,False,,3
reverse,oracle,True,0.7733,1.0,True,False,,3
is_even,direct,False,0.0,1.0,True,False,,3
is_even,hierarchical,False,0.8276,1.0,True,False,,3
is_even,oracle,False,0.8094,1.0,True,False,,3
max_two,direct,False,0.0,1.0,True,False,,3
max_two,hierarchical,False,0.6756,1.0,True,False,,3
max_two,oracle,False,0.6962,1.0,True,False,,3
sum_list,direct,False,0.0,1.0,True,False,,3
sum_list,hierarchical,True,0.7463,1.0,True,False,,3
sum_list,oracle,True,0.7463,1.0,True,False,,3
count_vowels,direct,False,0.0,1.0,True,False,,3
count_vowels,hierarchical,True,0.8459,1.0,True,False,,3
count_vowels,oracle,True,0.8445,1.0,True,False,,3
prime,direct,False,0.0,1.0,True,False,,4
prime,hierarchical,True,0.7469,1.0,True,False,,4
prime,oracle,True,0.739,1.0,True,False,,4
factorial,direct,False,0.0,1.0,True,False,,4
factorial,hierarchical,False,0.7769,1.0,True,False,,4
factorial,oracle,False,0.7769,1.0,True,False,,4
fibonacci,direct,False,0.0,1.0,True,False,,4
fibonacci,hierarchical,False,0.5016,0.0,True,False,,4
fibonacci,oracle,False,0.5287,1.0,True,False,,4
gcd,direct,False,0.0,1.0,True,False,,4
gcd,hierarchical,True,0.6573,0.6667,True,False,,4
gcd,oracle,True,0.6791,1.0,True,False,,4
palindrome,direct,False,0.0,1.0,True,False,,4
palindrome,hierarchical,False,0.4667,1.0,True,False,,4
palindrome,oracle,False,0.4294,1.0,True,False,,4
reverse,direct,False,0.0,1.0,True,False,,4
reverse,hierarchical,True,0.7733,1.0,True,False,,4
reverse,oracle,True,0.7733,1.0,True,False,,4
is_even,direct,False,0.0,1.0,True,False,,4
is_even,hierarchical,False,0.8276,1.0,True,False,,4
is_even,oracle,False,0.8094,1.0,True,False,,4
max_two,direct,False,0.0,1.0,True,False,,4
max_two,hierarchical,False,0.6756,1.0,True,False,,4
max_two,oracle,False,0.6962,1.0,True,False,,4
sum_list,direct,False,0.0,1.0,True,False,,4
sum_list,hierarchical,True,0.7463,1.0,True,False,,4
sum_list,oracle,True,0.7463,1.0,True,False,,4
count_vowels,direct,False,0.0,1.0,True,False,,4
count_vowels,hierarchical,True,0.8459,1.0,True,False,,4
count_vowels,oracle,True,0.8445,1.0,True,False,,4
prime,direct,False,0.0,1.0,True,False,,5
prime,hierarchical,True,0.7469,1.0,True,False,,5
prime,oracle,True,0.739,1.0,True,False,,5
factorial,direct,False,0.0,1.0,True,False,,5
factorial,hierarchical,False,0.7769,1.0,True,False,,5
factorial,oracle,False,0.7769,1.0,True,False,,5
fibonacci,direct,False,0.0,1.0,True,False,,5
fibonacci,hierarchical,False,0.5016,0.0,True,False,,5
fibonacci,oracle,False,0.5287,1.0,True,False,,5
gcd,direct,False,0.0,1.0,True,False,,5
gcd,hierarchical,True,0.6573,0.6667,True,False,,5
gcd,oracle,True,0.6791,1.0,True,False,,5
palindrome,direct,False,0.0,1.0,True,False,,5
palindrome,hierarchical,False,0.4667,1.0,True,False,,5
palindrome,oracle,False,0.4294,1.0,True,False,,5
reverse,direct,False,0.0,1.0,True,False,,5
reverse,hierarchical,True,0.7733,1.0,True,False,,5
reverse,oracle,True,0.7733,1.0,True,False,,5
is_even,direct,False,0.0,1.0,True,False,,5
is_even,hierarchical,False,0.8276,1.0,True,False,,5
is_even,oracle,False,0.8094,1.0,True,False,,5
max_two,direct,False,0.0,1.0,True,False,,5
max_two,hierarchical,False,0.6756,1.0,True,False,,5
max_two,oracle,False,0.6962,1.0,True,False,,5
sum_list,direct,False,0.0,1.0,True,False,,5
sum_list,hierarchical,True,0.7463,1.0,True,False,,5
sum_list,oracle,True,0.7463,1.0,True,False,,5
count_vowels,direct,False,0.0,1.0,True,False,,5
count_vowels,hierarchical,True,0.8459,1.0,True,False,,5
count_vowels,oracle,True,0.8445,1.0,True,False,,5
prime,direct,False,0.0,1.0,True,False,,6
prime,hierarchical,True,0.7469,1.0,True,False,,6
prime,oracle,True,0.739,1.0,True,False,,6
factorial,direct,False,0.0,1.0,True,False,,6
factorial,hierarchical,False,0.7769,1.0,True,False,,6
factorial,oracle,False,0.7769,1.0,True,False,,6
fibonacci,direct,False,0.0,1.0,True,False,,6
fibonacci,hierarchical,False,0.5016,0.0,True,False,,6
fibonacci,oracle,False,0.5287,1.0,True,False,,6
gcd,direct,False,0.0,1.0,True,False,,6
gcd,hierarchical,True,0.6573,0.6667,True,False,,6
gcd,oracle,True,0.6791,1.0,True,False,,6
palindrome,direct,False,0.0,1.0,True,False,,6
palindrome,hierarchical,False,0.4667,1.0,True,False,,6
palindrome,oracle,False,0.4294,1.0,True,False,,6
reverse,direct,False,0.0,1.0,True,False,,6
reverse,hierarchical,True,0.7733,1.0,True,False,,6
reverse,oracle,True,0.7733,1.0,True,False,,6
is_even,direct,False,0.0,1.0,True,False,,6
is_even,hierarchical,False,0.8276,1.0,True,False,,6
is_even,oracle,False,0.8094,1.0,True,False,,6
max_two,direct,False,0.0,1.0,True,False,,6
max_two,hierarchical,False,0.6756,1.0,True,False,,6
max_two,oracle,False,0.6962,1.0,True,False,,6
sum_list,direct,False,0.0,1.0,True,False,,6
sum_list,hierarchical,True,0.7463,1.0,True,False,,6
sum_list,oracle,True,0.7463,1.0,True,False,,6
count_vowels,direct,False,0.0,1.0,True,False,,6
count_vowels,hierarchical,True,0.8459,1.0,True,False,,6
count_vowels,oracle,True,0.8445,1.0,True,False,,6
prime,direct,False,0.0,1.0,True,False,,7
prime,hierarchical,True,0.7469,1.0,True,False,,7
prime,oracle,True,0.739,1.0,True,False,,7
factorial,direct,False,0.0,1.0,True,False,,7
factorial,hierarchical,False,0.7769,1.0,True,False,,7
factorial,oracle,False,0.7769,1.0,True,False,,7
fibonacci,direct,False,0.0,1.0,True,False,,7
fibonacci,hierarchical,False,0.5016,0.0,True,False,,7
fibonacci,oracle,False,0.5287,1.0,True,False,,7
gcd,direct,False,0.0,1.0,True,False,,7
gcd,hierarchical,True,0.6573,0.6667,True,False,,7
gcd,oracle,True,0.6791,1.0,True,False,,7
palindrome,direct,False,0.0,1.0,True,False,,7
palindrome,hierarchical,False,0.4667,1.0,True,False,,7
palindrome,oracle,False,0.4294,1.0,True,False,,7
reverse,direct,False,0.0,1.0,True,False,,7
reverse,hierarchical,True,0.7733,1.0,True,False,,7
reverse,oracle,True,0.7733,1.0,True,False,,7
is_even,direct,False,0.0,1.0,True,False,,7
is_even,hierarchical,False,0.8276,1.0,True,False,,7
is_even,oracle,False,0.8094,1.0,True,False,,7
max_two,direct,False,0.0,1.0,True,False,,7
max_two,hierarchical,False,0.6756,1.0,True,False,,7
max_two,oracle,False,0.6962,1.0,True,False,,7
sum_list,direct,False,0.0,1.0,True,False,,7
sum_list,hierarchical,True,0.7463,1.0,True,False,,7
sum_list,oracle,True,0.7463,1.0,True,False,,7
count_vowels,direct,False,0.0,1.0,True,False,,7
count_vowels,hierarchical,True,0.8459,1.0,True,False,,7
count_vowels,oracle,True,0.8445,1.0,True,False,,7
prime,direct,False,0.0,1.0,True,False,,8
prime,hierarchical,True,0.7469,1.0,True,False,,8
prime,oracle,True,0.739,1.0,True,False,,8
factorial,direct,False,0.0,1.0,True,False,,8
factorial,hierarchical,False,0.7769,1.0,True,False,,8
factorial,oracle,False,0.7769,1.0,True,False,,8
fibonacci,direct,False,0.0,1.0,True,False,,8
fibonacci,hierarchical,False,0.5016,0.0,True,False,,8
fibonacci,oracle,False,0.5287,1.0,True,False,,8
gcd,direct,False,0.0,1.0,True,False,,8
gcd,hierarchical,True,0.6573,0.6667,True,False,,8
gcd,oracle,True,0.6791,1.0,True,False,,8
palindrome,direct,False,0.0,1.0,True,False,,8
palindrome,hierarchical,False,0.4667,1.0,True,False,,8
palindrome,oracle,False,0.4294,1.0,True,False,,8
reverse,direct,False,0.0,1.0,True,False,,8
reverse,hierarchical,True,0.7733,1.0,True,False,,8
reverse,oracle,True,0.7733,1.0,True,False,,8
is_even,direct,False,0.0,1.0,True,False,,8
is_even,hierarchical,False,0.8276,1.0,True,False,,8
is_even,oracle,False,0.8094,1.0,True,False,,8
max_two,direct,False,0.0,1.0,True,False,,8
max_two,hierarchical,False,0.6756,1.0,True,False,,8
max_two,oracle,False,0.6962,1.0,True,False,,8
sum_list,direct,False,0.0,1.0,True,False,,8
sum_list,hierarchical,True,0.7463,1.0,True,False,,8
sum_list,oracle,True,0.7463,1.0,True,False,,8
count_vowels,direct,False,0.0,1.0,True,False,,8
count_vowels,hierarchical,True,0.8459,1.0,True,False,,8
count_vowels,oracle,True,0.8445,1.0,True,False,,8
prime,direct,False,0.0,1.0,True,False,,9
prime,hierarchical,True,0.7469,1.0,True,False,,9
prime,oracle,True,0.739,1.0,True,False,,9
factorial,direct,False,0.0,1.0,True,False,,9
factorial,hierarchical,False,0.7769,1.0,True,False,,9
factorial,oracle,False,0.7769,1.0,True,False,,9
fibonacci,direct,False,0.0,1.0,True,False,,9
fibonacci,hierarchical,False,0.5016,0.0,True,False,,9
fibonacci,oracle,False,0.5287,1.0,True,False,,9
gcd,direct,False,0.0,1.0,True,False,,9
gcd,hierarchical,True,0.6573,0.6667,True,False,,9
gcd,oracle,True,0.6791,1.0,True,False,,9
palindrome,direct,False,0.0,1.0,True,False,,9
palindrome,hierarchical,False,0.4667,1.0,True,False,,9
palindrome,oracle,False,0.4294,1.0,True,False,,9
reverse,direct,False,0.0,1.0,True,False,,9
reverse,hierarchical,True,0.7733,1.0,True,False,,9
reverse,oracle,True,0.7733,1.0,True,False,,9
is_even,direct,False,0.0,1.0,True,False,,9
is_even,hierarchical,False,0.8276,1.0,True,False,,9
is_even,oracle,False,0.8094,1.0,True,False,,9
max_two,direct,False,0.0,1.0,True,False,,9
max_two,hierarchical,False,0.6756,1.0,True,False,,9
max_two,oracle,False,0.6962,1.0,True,False,,9
sum_list,direct,False,0.0,1.0,True,False,,9
sum_list,hierarchical,True,0.7463,1.0,True,False,,9
sum_list,oracle,True,0.7463,1.0,True,False,,9
count_vowels,direct,False,0.0,1.0,True,False,,9
count_vowels,hierarchical,True,0.8459,1.0,True,False,,9
count_vowels,oracle,True,0.8445,1.0,True,False,,9
